Order no,UID,Type,Day,Month,Year,Slot,Price,Address

10003,1
10004,10022,1
10005,2,10000,14,11,2021,3,643.500000,1
10005,2,10000,14,11,2021,2,120.250000,1
10006,2,10000,14,11,2021,2,94.250000,1
10007,2,10000,14,11,2021,2,386.750000,1
10008,2,10000,14,11,2021,2,386.750000,1
10009,2,10000,14,11,2021,2,386.750000,1
10010,2,10000,14,11,2021,2,162.500000,3
10011,2,10002,14,11,2021,1,406.250000,2
10012,2,10002,14,11,2021,3,776.750000,1
10013,2,10002,14,11,2021,3,776.750000,1
10014,2,10002,14,11,2021,1,273.000000,1
10015,2,10002,14,11,2021,1,215.800003,1
10016,2,10002,14,11,2021,1,81.250000,1
10017,10002,1
10018,2,10002,14,11,2021,5,53.950001,2
10019,2,10002,14,11,2021,2,53.950001,1
10020,10002,1
10021,10002,1
10022,2,10002,14,11,2021,2,107.900002,1
10023,2,10000,14,11,2021,1,551.849976,
10024,2,10000,14,11,2021,1,32.500000,
10025,10000,1
10026,2,10000,14,11,2021,2,547.299988,
10027,2,10002,14,11,2021,2,273.649994,IISER Kolkata
